item_type,total_sales,average_sales,record_count,average_rating
Fruits and Vegetables,178124.081,144.5812345779221,1232,3.956168831168831
Snack Foods,175433.9204,146.19493366666666,1200,3.9489166666666664
Household,135976.5254,149.4247531868132,910,3.998681318681319
Frozen Foods,118558.8814,138.50336612149533,856,3.9711448598130845
Dairy,101276.4596,148.49920762463344,682,3.9658357771260992
Canned,90706.727,139.76383204930661,649,3.994298921417566
Baking Goods,81894.7364,126.38076604938271,648,3.9830246913580245
Health and Hygiene,68025.8388,130.81892076923077,520,3.9861538461538464
Meat,59449.8638,139.88203247058823,425,4.023058823529412
Soft Drinks,58514.165,131.49250561797754,445,3.9206741573033708
Breads,35379.1198,140.95266852589643,251,3.8812749003984064
Hard Drinks,29334.6766,137.07792803738317,214,3.9074766355140187
Others,22451.8916,132.8514295857988,169,3.954437869822485
Starchy Foods,21880.0274,147.83802297297296,148,3.9202702702702705
Breakfast,15596.6966,141.78815090909092,110,3.932727272727273
Seafood,9077.87,141.84171875,64,3.959375
